year,university,school,degree,employment_rate,gross_mean,gross_median,gross_25_percentile,gross_75_percentile
2015,SMU,School of Economics,Economics,85.80,3946,3500,3200,4100
2015,SMU,School of Economics,Economics Cum Laude and above,92.70,4380,3850,3500,4700
2015,SMU,School of Information Systems,Information Systems Management,85.90,3660,3500,3200,4110
2015,SMU,School of Information Systems,Information Systems Management Cum Laude and above,92.10,3834,3800,3500,4166
2015,SMU,School of Social Sciences,Social Sciences,83.00,3550,3200,2980,3600
2015,SMU,School of Social Sciences,Social Sciences Cum Laude and above,89.70,4012,3560,3300,4583
2015,SMU,School of Law,Law,99.00,4997,4731,4350,5800
2015,SMU,School of Law,Law Cum Laude and above,100.00,5313,5000,4500,5995
2016,SMU,School of Accountancy,Accountancy,96.00,3455,3000,2900,3600
2016,SMU,School of Accountancy,Accountancy Cum Laude and above,100.00,3943,3600,3000,4583
2016,SMU,School of Business,Business Management,84.60,3831,3500,3000,4000
2016,SMU,School of Business,Business Management Cum Laude and above,92.10,4243,3660,3250,4583
2016,SMU,School of Economics,Economics,84.00,3906,3700,3200,4300
2016,SMU,School of Economics,Economics Cum Laude and above,92.50,4425,4107,3800,4750
2016,SMU,School of Information Systems,Information Systems Management,91.50,3897,3600,3200,4167
2016,SMU,School of Information Systems,Information Systems Management Cum Laude and above,95.00,4603,4167,3800,4750
2016,SMU,School of Social Sciences,Social Sciences,80.40,3311,3145,3000,3500
2016,SMU,School of Social Sciences,Social Sciences Cum Laude and above,87.20,3548,3400,3000,3668
2016,SMU,School of Law,Law,93.70,4915,4850,4200,5800
2016,SMU,School of Law,Law Cum Laude and above,96.70,5095,5300,4500,5800
